run_id,feature_set,model,n_features,auc_roc,pr_auc,sensitivity,specificity,accuracy,test_pos,test_neg,fold,train_rows,test_rows,train_pos,train_neg,train_subjects,test_subjects,train_single_class,best_params,best_inner_score
doe_v1_all_models,bp_only,gradient_boosting,10,0.8277845528455285,0.07967282545889022,0.012195121951219363,0.9999999999999999,0.989723420451662,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.49822012295696505,0.025141787245196404,0.008547008547008475,0.9929824561403507,0.9731820526044351,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.577557354925776,0.012857253061917914,0.01923076923076886,0.9912280701754385,0.9824408901251737,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.5130246913580246,0.0626115404683075,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms,logreg,12,,,,0.14555555555555552,0.14555555555555552,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms,logreg,12,0.7847052280311457,0.02369299909661136,0.93103448275861,0.50752688172043,0.5114520080963033,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms,logreg,12,0.644334508294229,0.01979773644616381,0.1908396946564871,0.8270270270270269,0.8175844096986176,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms,logreg,12,0.3552689180737961,0.007834534193887495,0.28048780487804537,0.6102564102564102,0.6068256787617355,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms,logreg,12,0.9263945119208278,0.27068896782991425,0.991452991452983,0.5440350877192982,0.5530342100739212,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms,logreg,12,0.6722435897435898,0.015118431196983771,0.692307692307679,0.5299999999999999,0.5314673157162725,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms,logreg,12,0.8332160493827161,0.3356175078723702,0.0055555555555555245,0.9999999999999997,0.9378472222222219,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,,,,0.9819658119658118,0.9819658119658118,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,0.8623600296625881,0.06241647064249849,0.0,0.9999999999999998,0.9907318632150846,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,0.7976458348879982,0.10240960957340857,0.0,0.9999999999999998,0.9851574892363469,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,0.8263547529706066,0.04386036647291582,0.0,0.998076923076923,0.987693478812484,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,0.5097840755735492,0.019319567395232252,0.0,0.9999999999999999,0.9798865394533263,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,0.5781207827260458,0.011088512753949276,0.0,0.9971929824561402,0.9881780250347704,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms,random_forest,12,0.7263024691358024,0.2615730123439536,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms,svm,12,,,,0.9794017094017092,0.9794017094017092,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms,svm,12,0.5537671486837227,0.010066175029189762,0.0,0.9892473118279568,0.9800788324278256,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms,svm,12,0.8910762963710828,0.20820608797299983,0.015267175572518969,0.9993099482461183,0.9847042828008156,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms,svm,12,0.5386819887429644,0.05457551162707449,0.048780487804877454,0.9964102564102563,0.9865516366404464,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms,svm,12,0.26873744189533666,0.014275829059959565,0.008547008547008475,0.9971929824561402,0.9773078906652912,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_plus_rms,svm,12,0.5607169365721997,0.014972946910907977,0.15384615384615088,0.9371929824561402,0.9301112656467314,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_plus_rms,svm,12,0.7698971193415637,0.19613426494265643,0.0,0.9996296296296293,0.9371527777777775,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,,,,0.9435897435897435,0.9435897435897435,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,0.8915226795204547,0.09813464766060036,0.03448275862068926,0.9986021505376342,0.9896665601363586,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,0.8746893230732763,0.13913329298072807,0.0,0.999769982748706,0.9849308860185813,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,0.7477329580988117,0.09400813323715138,0.03658536585365809,0.9996153846153845,0.9895965490992132,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_plus_rms,gradient_boosting,12,0.5591572949467687,0.021921508145289478,0.0,0.9831578947368419,0.9633831872099019,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
