model,input_type,pr_auc_mean,pr_auc_std,pr_auc_str,auc_roc_mean,auc_roc_std,auc_roc_str,sensitivity_mean,specificity_mean,folds_with_nan
logreg,Features tabulares (BP+RMS),0.1121250294393218,0.1494809359063215,0.1121 ± 0.1495,0.7026938009077175,0.1994196636442918,0.7027 ± 0.1994,0.5152797036015601,0.5949144231826743,1
gradient_boosting,Features tabulares (BP+RMS),0.0969890962022528,0.0766587960300994,0.0970 ± 0.0767,0.7477828440205014,0.1565458424983686,0.7478 ± 0.1565,0.0118446874123912,0.9878944960025404,1
random_forest,Features tabulares (BP+RMS),0.0834445898636596,0.0932157924480821,0.0834 ± 0.0932,0.7167613241594317,0.1427612141774993,0.7168 ± 0.1428,0.0,0.9967479596426964,1
svm,Features tabulares (BP+RMS),0.0830384692571313,0.0937591632618729,0.0830 ± 0.0938,0.5971461552678116,0.2148101447375353,0.5971 ± 0.2148,0.0377401376284259,0.9854835457754214,1
